Time	Lat_GPS	Lon_GPS	Lat_0	Lon_0	Target_Lat	Target_Lon	X_GPS	Y_GPS	X_EKF	Y_EKF	X_Pred	Y_Pred	X_ODO	Y_ODO	Theta	Theta_Target	Theta_Err	VL	VR	DWA_V	DWA_Omega	V_Aktual	Omega_Aktual	PWM_L	PWM_R	Dist_GPS	Dist_EKF	Dist_Travelled	WP	ETA_GPS	ETA_EKF	X_obs	Y_obs	Bump_Sta	Haz_Sta	Pothole_Sta	Frame	FPS	Latency	Arbiter
0	-7.05112	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.123	-3.535	2.604	-3.535	2.604	-3.535	2.604	135.6119	121.4	-14.18	0	0	0	0	0	0.0011	0	0	46.04488	46.28955	0	0	0	0	-3.825	2.74163		0		2213	5.82	49.63	AVOID
0.186000109	-7.05112	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.123	-3.535	2.604	-3.535	2.604	-3.535	2.604	135.6	118.9	-16.69	0	0	0	0	0	0.0011	0	0	46.04488	46.28955	0	0	0	0	-3.82163	2.74628		0		2214	5.8	44.43	AVOID
0.371999979	-7.05112	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.123	-3.535	2.604	-3.535	2.604	-3.535	2.604	135.6	118.6	-17.06	0	0	0	0	0	-0.0011	0	0	46.04488	46.28955	0	0	0	0	-3.8191	2.75126		0		2215	5.78	57.65	AVOID
0.559000015	-7.05112	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.123	-3.535	2.604	-3.535	2.604	-3.535	2.604	135.6	117.6	-18	0	0	0	0	0	0.0011	0	0	46.04488	46.28955	0	0	0	0	-3.82642	2.73619		0		2217	5.82	60.75	AVOID
0.748000145	-7.05112	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.123	-3.535	2.604	-3.535	2.604	-3.535	2.604	135.6	117.6	-18	0	0	0	0	0	0.0022	0	0	46.04488	46.28955	0	0	0	0	-3.83129	2.74469		0		2218	5.84	77.14	AVOID
0.930999994	-7.05112	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.123	-3.535	2.604	-3.535	2.604	-3.535	2.604	135.59418	117.7	-17.89	0	0	0	0	0	-0.0011	0	0	46.04488	46.28955	0	0	0	0	-3.84875	2.727		0		2219	5.82	63.66	AVOID
1.118999958	-7.05112	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.123	-3.535	2.604	-3.535	2.604	-3.535	2.604	135.58235	117.7	-17.89	0	0	0	0	0	-0.0011	0	0	46.04488	46.28955	0	0	0	0	-3.84653	2.73252		0		2220	5.81	70.06	AVOID
1.304000139	-7.05112	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.123	-3.535	2.604	-3.535	2.604	-3.535	2.604	135.59404	117.7	-17.94	0	0	0	0	0	-0.0011	0	0	46.04488	46.28955	0	0	0	0	-3.84656	2.73245		1		2221	5.8	61.38	AVOID
1.490999937	-7.05112	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.123	-3.535	2.604	-3.535	2.604	-3.535	2.604	135.6	117.8	-17.77	0	0	0	0	0	0	0	0	46.04488	46.28955	0	0	0	0	-3.91196	2.70783		3		2222	5.8	80.27	AVOID
1.679000139	-7.05112	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.123	-3.535	2.604	-3.535	2.604	-3.535	2.604	135.6	119.5	-16.12	0	0	0	0	0	-0.0011	0	0	46.04488	46.28955	0	0	0	0	-3.94671	2.68702		0		2223	5.79	40.31	AVOID
1.863000154	-7.05112	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.123	-3.535	2.604	-3.535	2.604	-3.535	2.604	135.6	120.2	-15.45	0	0	0	0	0	0.0011	0	0	46.04488	46.28955	0	0	0	0	-4.07599	2.60778		0		2224	5.85	38.21	AVOID
2.046000004	-7.05112	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.123	-3.535	2.604	-3.65039	2.69959	-3.535	2.604	135.61154	120.2	-15.45	0	0	0.1	0.05346	0	0.0011	0	0	46.04488	46.28955	0	0	0	0				0		2225	5.85	14.56	AVOID
2.235000134	-7.05112	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.123	-3.535	2.604	-3.65052	2.69942	-3.535	2.604	135.6	127.6	-8	0	0	0.1	0.05456	0	0.0022	0	0	46.04488	46.28955	0	0	0	0				0		2227	6.16	11.13	AVOID
2.423000097	-7.05112	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.123	-3.535	2.604	-3.65021	2.69982	-3.535	2.604	135.6	142.9	7.29	0	0	0.1	0.05236	0	0	3	3	46.04488	46.28955	0	0	0	0				0		2228	6.29	12.58	AVOID
2.611999989	-7.05112	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.123	-3.535	2.604	-3.65021	2.69982	-3.535	2.604	135.6	142.9	7.29	0	0	0.1	0.05236	0	0	63	63	46.04488	46.28955	0	0	0	0				0		2230	6.67	12.08	AVOID
2.799000025	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.593	2.577	-3.70787	2.67324	-3.593	2.577	135.58807	142.8	7.22	0	0	0.1	0.05016	0	-0.0022	75	71	45.94637	46.25961	0	0	0	0				0		2231	6.76	12.5	AVOID
2.98300004	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.593	2.577	-3.70838	2.67261	-3.593	2.577	135.60572	142.8	7.22	0	0	0.1	0.05346	0	0.0011	75	71	45.94637	46.25961	0	0	0	0				0		2233	7.08	11.83	AVOID
3.170000076	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.593	2.577	-3.7084	2.67258	-3.593	2.577	135.61747	142.8	7.22	0	0	0.1	0.05346	0	0.0011	75	71	45.94637	46.25961	0	0	0	0				0		2234	7.13	13.53	AVOID
3.35800004	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.593	2.577	-3.70805	2.67302	-3.593	2.577	135.6	142.8	7.22	0	0	0.1	0.05126	0	-0.0011	75	71	45.94637	46.25961	0	0	0	0				0		2236	7.41	12.52	AVOID
3.544000149	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.229	-3.619	2.563	-3.73405	2.65902	-3.619	2.563	135.6	142.8	7.19	0	0	0.1	0.05126	0	-0.0011	75	71	45.97958	46.24735	0	0	0	0	-4.26642	1.82864		0		2237	7.47	41.33	AVOID
3.730000019	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.229	-3.619	2.563			-3.619	2.563	135.6	142.8	7.19	0	0	0	0	0	-0.0011	75	71	45.97958	46.24735	0	0	0	0	-4.26642	1.82864		0		2239	7.57	28.31	CRUISE
3.916000128	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.229	-3.619	2.563			-3.619	2.563	135.59394	142.8	7.19	0	0	0	0	0	-0.0011	105	101	45.97958	46.24735	0	0	0	0				0		2240	7.6	2.51	CRUISE
4.101999998	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.229	-3.619	2.563			-3.619	2.563	135.60601	142.8	7.19	0	0	0	0	0	0.0011	105	101	45.97958	46.24735	0	0	0	0				0		2242	7.74	3.54	CRUISE
4.289000034	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.229	-3.619	2.563			-3.619	2.563	135.61775	142.8	7.19	0	0	0	0	0	0.0011	164	140	45.97958	46.24735	0	0	0	0				0		2243	7.81	4.55	CRUISE
4.479000092	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.229	-3.619	2.563			-3.619	2.563	135.6	142.8	7.19	0	0	0	0	0	-0.0011	164	140	45.97958	46.24735	0	0	0	0				0		2245	7.91	4.04	CRUISE
4.666000128	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.229	-3.619	2.563			-3.619	2.563	135.6	142.8	7.19	0	0	0	0	0	0	164	140	45.97958	46.24735	0	0	0	0				0		2246	7.95	2.52	CRUISE
4.855000019	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.666	2.541			-3.666	2.541	135.6	142.7	7.13	0	0	0	0	0	0.0011	164	140	45.94637	46.22324	0	0	0	0				0		2248	8.01	2.51	CRUISE
5.036999941	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.666	2.541			-3.666	2.541	135.6	142.7	7.13	0	0	0	0	0	0	164	140	45.94637	46.22324	0	0	0	0				0		2249	8.05	3.52	CRUISE
5.219000101	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.666	2.541			-3.666	2.541	135.6	142.7	7.13	0	0	0	0	0	0	164	140	45.94637	46.22324	0	0	0	0				0		2251	8.08	2.34	CRUISE
5.40199995	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.666	2.541			-3.666	2.541	135.6	142.7	7.13	0	0	0	0	0	0.0011	164	140	45.94637	46.22324	0	0	0	0				0		2252	8.14	4.02	CRUISE
5.587000132	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.666	2.541			-3.666	2.541	135.6	142.7	7.13	0	0	0	0	0	-0.0011	164	140	45.94637	46.22324	0	0	0	0				0		2254	8.23	3.63	CRUISE
5.772000074	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.666	2.541			-3.666	2.541	135.6	142.7	7.13	0	0	0	0	0	-0.0011	164	140	45.94637	46.22324	0	0	0	0				0		2255	8.16	4.05	CRUISE
5.957999945	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.666	2.541			-3.666	2.541	135.61174	142.7	7.13	0	0	0	0	0	0.0022	164	140	45.94637	46.22324	0	0	0	0				0		2257	8.13	2.03	CRUISE
6.147000074	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.666	2.541			-3.666	2.541	135.61199	142.7	7.13	0	0	0	0	0	0.0022	164	140	45.94637	46.22324	0	0	0	0				0		2259	8.16	2.6	CRUISE
6.337000132	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.666	2.541			-3.666	2.541	135.63587	142.7	7.13	0	0	0	0	0	0.0022	164	140	45.94637	46.22324	0	0	0	0				0		2260	8.26	2.9	CRUISE
6.521000147	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.666	2.541			-3.666	2.541	135.60569	142.7	7.13	0	0	0	0	0	0.0011	164	140	45.94637	46.22324	0	0	0	0				0		2262	8.3	2.51	CRUISE
6.713999987	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.666	2.541			-3.666	2.541	135.6	142.7	7.13	0	0	0	0	0	0.0022	164	140	45.94637	46.22324	0	0	0	0				0		2263	8.32	8.06	CRUISE
6.903000116	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.666	2.541			-3.666	2.541	135.6	142.7	7.13	0	0	0	0	0	0	164	140	45.94637	46.22324	0	0	0	0				0		2265	8.28	4.01	CRUISE
7.094000101	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.666	2.541			-3.666	2.541	135.6	142.7	7.13	0	0	0	0	0	0	164	140	45.94637	46.22324	0	0	0	0				0		2266	8.28	3.51	CRUISE
7.286000013	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.666	2.541			-3.666	2.541	135.6	142.7	7.13	0	0	0	0	0	0	164	140	45.94637	46.22324	0	0	0	0				0		2268	8.21	2.54	CRUISE
7.476999998	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.666	2.541			-3.666	2.541	135.6	142.7	7.13	0	0	0	0	0	0	164	140	45.94637	46.22324	0	0	0	0				0		2270	8.23	3.6	CRUISE
7.664999962	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.666	2.541			-3.666	2.541	135.6	142.7	7.13	0	0	0	0	0	-0.0011	164	140	45.94637	46.22324	0	0	0	0				0		2271	8.26	3.39	CRUISE
7.850000143	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.666	2.541			-3.666	2.541	135.6	142.7	7.13	0	0	0	0	0	0.0011	164	140	45.94637	46.22324	0	0	0	0				0		2273	8.25	3.56	CRUISE
8.035000086	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.666	2.541			-3.666	2.541	135.6	142.7	7.13	0	0	0	0	0	0	164	140	45.94637	46.22324	0	0	0	0				0		2274	8.19	6.67	CRUISE
8.22300005	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.666	2.541			-3.666	2.541	135.6	142.7	7.13	0	0	0	0	0	0	164	140	45.94637	46.22324	0	0	0	0				0		2276	8.19	2.62	CRUISE
8.411999941	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.666	2.541			-3.666	2.541	135.6	142.7	7.13	0	0	0	0	0	0	164	140	45.94637	46.22324	0	0	0	0				0		2277	8.18	3	CRUISE
8.595999956	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.666	2.541			-3.666	2.541	135.59428	142.7	7.13	0	0	0	0	0	-0.0011	164	140	45.94637	46.22324	0	0	0	0				0		2279	8.31	3.53	CRUISE
8.785000086	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.666	2.541			-3.666	2.541	135.6	142.7	7.13	0	0	0	0	0	0	164	140	45.94637	46.22324	0	0	0	0				0		2281	8.44	5.17	CRUISE
8.972000122	-7.05111	110.39926	-7.05114	110.3993	-7.05086	110.39893	-4.214	2.283	-3.666	2.541			-3.666	2.541	135.6	142.7	7.13	0	0	0	0	0	0	164	140	45.94637	46.22324	0	0	0	0				0		2282	8.51	3.5	CRUISE
