Time,Lat_GPS,Lon_GPS,Lat_0,Lon_0,Target_Lat,Target_Lon,X_GPS,Y_GPS,X_EKF,Y_EKF,X_Pred,Y_Pred,X_ODO,Y_ODO,Theta,Theta_Target,Theta_Err,VL,VR,DWA_V,DWA_Omega,V_Aktual,Omega_Aktual,PWM_L,PWM_R,Dist_GPS,Dist_EKF,Dist_Travelled,WP,ETA_kf,ETA_raw,X_obs,Y_obs,Bump_Sta,Haz_Sta,Pothole_Sta,Frame,FPS,Latency,Arbiter
1783678014.20000,-7.05107,110.39922,-7.05112,110.39928,-7.05089,110.39896,-6.74300,5.73300,-6.23500,4.04600,-6.23500,4.04600,-6.23500,4.04600,135.80000,132.60000,-3.19000,-0.00000,0.00000,0.00000,0.00000,0.00000,-0.00110,0,0,35.32359,36.69310,0.00000,0.00000,990.10000,953.10000,-6.47410,4.61479,,0,,1795,5.41000,79.16000,AVOID
1783678014.41900,-7.05107,110.39922,-7.05112,110.39928,-7.05089,110.39896,-6.74300,5.73300,-6.23500,4.04600,-6.23500,4.04600,-6.23500,4.04600,135.78617,132.60000,-3.19000,-0.00000,0.00000,0.00000,0.00000,0.00000,-0.00110,0,0,35.32359,36.69310,0.00000,0.00000,990.10000,953.10000,-6.47319,4.61300,,3,,1797,5.35000,95.17000,AVOID
1783678014.62400,-7.05107,110.39922,-7.05112,110.39928,-7.05089,110.39896,-6.74300,5.73300,-6.23500,4.04600,-6.23500,4.04600,-6.23500,4.04600,135.77330,132.60000,-3.19000,-0.00000,0.00000,0.00000,0.00000,0.00000,-0.00110,0,0,35.32359,36.69310,0.00000,0.00000,990.10000,953.10000,-6.46313,4.61713,,0,,1798,5.34000,125.34000,AVOID
1783678014.75500,-7.05107,110.39922,-7.05112,110.39928,-7.05089,110.39896,-7.58600,5.62700,-6.28500,4.10200,-6.28500,4.10200,-6.28500,4.10200,135.80000,132.90000,-2.81000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00330,0,0,34.68225,36.61998,0.00000,0.00000,990.10000,953.10000,-6.51339,4.67302,,0,,1798,5.34000,81.37000,AVOID
1783678014.97400,-7.05107,110.39922,-7.05112,110.39928,-7.05089,110.39896,-7.58600,5.62700,-6.28500,4.10200,-6.28500,4.10200,-6.28500,4.10200,135.80000,133.20000,-2.59000,-0.00000,0.00000,0.00000,0.00000,0.00000,-0.00220,0,0,34.68225,36.61998,0.00000,0.00000,990.10000,953.10000,-6.50339,4.67692,,1,,1799,5.31000,69.62000,AVOID
1783678015.19500,-7.05107,110.39921,-7.05112,110.39928,-7.05089,110.39896,-7.58600,5.62700,-6.28500,4.10200,-6.28500,4.10200,-6.28500,4.10200,135.80000,133.30000,-2.42000,-0.00000,0.00000,0.00000,0.00000,0.00000,-0.00110,0,0,34.68225,36.61998,0.00000,0.00000,988.10000,935.80000,-6.51042,4.66559,,5,,1801,5.26000,94.38000,AVOID
1783678015.30600,-7.05107,110.39921,-7.05112,110.39928,-7.05089,110.39896,-7.58600,5.62700,-6.28500,4.10200,-6.28500,4.10200,-6.28500,4.10200,135.79298,133.30000,-2.42000,-0.00000,0.00000,0.00000,0.00000,0.00000,-0.00110,0,0,34.68225,36.61998,0.00000,0.00000,988.10000,935.80000,-6.51035,4.66562,,5,,1801,5.26000,93.65000,AVOID
1783678015.52600,-7.05107,110.39921,-7.05112,110.39928,-7.05089,110.39896,-7.58600,5.62700,-6.28500,4.10200,-6.28500,4.10200,-6.28500,4.10200,135.77911,133.30000,-2.42000,-0.00000,0.00000,0.00000,0.00000,0.00000,-0.00110,0,0,34.68225,36.61998,0.00000,0.00000,988.10000,935.80000,-6.50176,4.67326,,4,,1802,5.31000,56.85000,AVOID
1783678015.71500,-7.05107,110.39921,-7.05112,110.39928,-7.05089,110.39896,-7.58600,5.62700,-6.28500,4.10200,-6.28500,4.10200,-6.28500,4.10200,135.76722,133.30000,-2.42000,-0.00000,0.00000,0.00000,0.00000,0.00000,-0.00110,0,0,34.68225,36.61998,0.00000,0.00000,988.10000,935.80000,-6.81866,4.45165,,2,,1804,5.54000,108.70000,AVOID
1783678015.83000,-7.05107,110.39921,-7.05112,110.39928,-7.05089,110.39896,-7.58600,5.62700,-6.28500,4.10200,-6.28500,4.10200,-6.28500,4.10200,135.80000,133.10000,-2.64000,-0.00000,0.00000,0.00000,0.00000,0.00000,-0.00110,0,0,34.68225,36.61998,0.00000,0.00000,988.10000,935.80000,-6.81886,4.45135,,2,,1804,5.54000,64.98000,AVOID
1783678016.03900,-7.05107,110.39921,-7.05112,110.39928,-7.05089,110.39896,-7.58600,5.62700,-6.28500,4.10200,-6.28500,4.10200,-6.28500,4.10200,135.80000,131.70000,-4.03000,-0.00000,0.00000,0.00000,0.05236,0.00000,0.00000,0,0,34.68225,36.61998,0.00000,0.00000,988.10000,935.80000,-6.79104,4.51472,,8,,1805,5.54000,51.22000,AVOID
1783678016.21900,-7.05107,110.39921,-7.05112,110.39928,-7.05089,110.39896,-7.58600,5.62700,-6.28500,4.10200,-6.28500,4.10200,-6.28500,4.10200,135.80568,131.70000,-4.03000,-0.00000,0.00000,0.00000,0.05346,0.00000,0.00110,0,0,34.68225,36.61998,0.00000,0.00000,988.10000,935.80000,-6.88951,4.59492,,8,,1807,5.69000,114.40000,AVOID
