TIME,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15
12:42:35.65,-7.048954,110.392967,-7.048918,110.393257,0.12,263.07,-97.05,0,0,0,32.24,0.16,0,0,1
12:42:35.91,-7.048954,110.392967,-7.048918,110.393257,342.5,263.07,-79.43,0.31,0.39,0.35,32.24,0.43,92.36,0,1
12:42:36.10,-7.048954,110.392967,-7.048917,110.393257,335.83,262.82,-73.01,0.17,0.73,0.45,32.25,0.51,71.08,0,1
12:42:36.28,-7.048954,110.392967,-7.048917,110.393257,324.02,262.66,-61.36,0.09,0.59,0.34,32.26,0.57,94.3,0,1
12:42:36.47,-7.048954,110.392967,-7.048917,110.393257,313.62,262.66,-50.97,0.05,0.64,0.34,32.26,0.64,94.3,0,1
12:42:36.65,-7.048954,110.392967,-7.048916,110.393257,293.42,262.57,-30.84,0.04,0.75,0.4,32.27,0.71,81.1,0,1
12:42:36.93,-7.048954,110.392967,-7.048916,110.393257,277.85,262.57,-15.27,0.13,0.77,0.45,32.27,0.79,71.12,0,1
12:42:37.12,-7.048954,110.392967,-7.048917,110.393249,262.45,262.22,-0.24,0.38,1.16,0.77,31.43,0.93,40.92,0,1
12:42:37.29,-7.048954,110.392967,-7.048917,110.393249,256.3,262.22,5.92,0.45,0.71,0.58,31.43,1.03,53.91,0,1
12:42:37.48,-7.048954,110.392967,-7.048917,110.393249,256.22,262.22,5.99,0.58,0.71,0.64,31.43,1.15,48.93,0,1
12:42:37.66,-7.048954,110.392967,-7.048918,110.393249,257.92,262.48,4.56,0.68,0.66,0.67,31.41,1.27,46.87,0,1
12:42:37.85,-7.048954,110.392967,-7.048918,110.393249,260,262.48,2.47,0.69,0.66,0.68,31.41,1.39,46.38,0,1
12:42:38.03,-7.048954,110.392967,-7.048918,110.393249,261.78,262.48,0.69,0.71,0.65,0.68,31.41,1.51,46.38,0,1
12:42:38.22,-7.048954,110.392967,-7.048918,110.393249,263.84,262.48,-1.36,0.73,0.67,0.7,31.41,1.64,44.99,0,1
12:42:38.47,-7.048954,110.392967,-7.048918,110.393249,264.88,262.48,-2.41,0.72,0.69,0.71,31.41,1.76,44.55,0,1
12:42:38.65,-7.048954,110.392967,-7.048919,110.393241,264.91,262.64,-2.26,0.94,0.91,0.93,30.56,1.93,33.03,0,1
12:42:38.84,-7.048954,110.392967,-7.04892,110.393241,264.13,262.73,-1.4,0.68,0.72,0.7,30.55,2.06,43.76,0,1
12:42:39.03,-7.048954,110.392967,-7.04892,110.393241,264,262.73,-1.26,0.67,0.71,0.69,30.55,2.18,44.2,0,1
12:42:39.21,-7.048954,110.392967,-7.04892,110.393241,263.59,262.73,-0.86,0.68,0.71,0.69,30.55,2.31,43.98,0,1
12:42:39.48,-7.048954,110.392967,-7.04892,110.393241,263.05,262.73,-0.31,0.7,0.73,0.71,30.55,2.43,42.9,0,1
12:42:39.67,-7.048954,110.392967,-7.04892,110.393241,262.92,262.73,-0.19,1.03,1.03,1.03,30.55,2.62,29.57,0,1
12:42:39.85,-7.048954,110.392967,-7.04892,110.393241,263.49,262.73,-0.76,0.71,0.71,0.71,30.55,2.75,43.11,0,1
12:42:40.04,-7.048954,110.392967,-7.04892,110.393241,263.68,262.73,-0.95,0.71,0.7,0.71,30.55,2.87,43.33,0,1
12:42:40.22,-7.048954,110.392967,-7.04892,110.393241,263.79,262.73,-1.06,0.72,0.72,0.72,30.55,3,42.48,0,1
12:42:40.50,-7.048954,110.392967,-7.04892,110.393241,263.3,262.73,-0.56,0.68,0.68,0.68,30.55,3.13,44.65,0,1
12:42:40.69,-7.048954,110.392967,-7.048923,110.393226,260.58,262.92,2.34,1.06,1.1,1.08,28.84,3.32,26.65,0,1
12:42:40.87,-7.048954,110.392967,-7.048923,110.393226,258.25,263.01,4.76,0.67,0.69,0.68,28.83,3.44,42.36,0,1
12:42:41.06,-7.048954,110.392967,-7.048923,110.393226,257.18,263.01,5.83,0.66,0.71,0.69,28.83,3.57,41.93,0,1
12:42:41.25,-7.048954,110.392967,-7.048924,110.393226,256.41,263.3,6.89,0.71,0.71,0.71,28.81,3.7,40.66,0,1
12:42:41.42,-7.048954,110.392967,-7.048924,110.393226,256.73,263.3,6.57,0.7,0.65,0.67,28.81,3.82,42.77,0,1
