TIME,Lat_GPS,Lon_GPS,Target_Lat,Target_Lon,Theta,Theta_Target,Theta_Err,VL,VR,V_Aktual,Dist_GPS,Dist_Travelled,ETA_GPS,WP,MODE
28:53.3,-7.050816,110.391326,-7.050748,110.39154,297.39,251.99,-45.4,0,0,0,24.75,-1.5,0,0,1
28:53.5,-7.050816,110.391326,-7.050748,110.39154,293.26,251.99,-41.27,0.01,0.16,0.09,24.75,-1.48,283.58,0,1
28:53.7,-7.050816,110.391326,-7.050748,110.39154,278.9,251.99,-26.91,0.09,0.68,0.39,24.75,-1.41,63.87,0,1
28:53.9,-7.050816,110.391326,-7.050748,110.39154,267.03,251.99,-15.04,0.13,0.65,0.39,24.75,-1.34,63.3,0,1
28:54.0,-7.050816,110.391326,-7.050748,110.39154,260.08,251.99,-8.09,0.26,0.7,0.48,24.75,-1.25,51.75,0,1
28:54.2,-7.050816,110.391326,-7.050748,110.39154,250.41,251.99,1.59,0.4,0.75,0.58,24.75,-1.15,42.71,0,1
28:54.5,-7.050816,110.391326,-7.050755,110.39154,245.44,253.69,8.26,0.56,0.76,0.66,24.53,-1.03,37.18,0,1
28:54.7,-7.050816,110.391326,-7.050755,110.39154,244.83,253.69,8.87,0.97,1.03,1,24.53,-0.85,24.49,0,1
28:54.9,-7.050816,110.391326,-7.050763,110.391532,246.14,254.81,8.67,0.75,0.65,0.7,23.5,-0.72,33.49,0,1
28:55.1,-7.050816,110.391326,-7.050762,110.391532,247.55,254.47,6.92,0.8,0.68,0.74,23.52,-0.59,31.79,0,1
28:55.3,-7.050816,110.391326,-7.050762,110.391532,250.56,254.47,3.91,0.75,0.65,0.7,23.52,-0.46,33.53,0,1
28:55.5,-7.050816,110.391326,-7.050762,110.391532,252.85,254.47,1.62,0.75,0.61,0.68,23.52,-0.34,34.56,0,1
28:55.7,-7.050816,110.391326,-7.050762,110.391532,256.29,254.47,-1.82,1.06,0.92,0.99,23.52,-0.16,23.73,0,1
28:55.9,-7.050816,110.391326,-7.050762,110.391532,258.14,254.47,-3.68,0.76,0.65,0.71,23.52,-0.04,33.36,0,1
28:56.1,-7.050816,110.391326,-7.05077,110.391525,258.76,256.23,-2.53,0.76,0.73,0.74,22.49,0.1,30.24,0,1
28:56.3,-7.050816,110.391326,-7.05077,110.391525,258.55,256.23,-2.32,0.75,0.74,0.75,22.49,0.23,30.1,0,1
28:56.6,-7.050816,110.391326,-7.050772,110.391525,256.83,256.96,0.13,0.74,0.79,0.76,22.43,0.37,29.34,0,1
28:56.8,-7.050816,110.391326,-7.050774,110.391525,255.17,257.57,2.4,1.05,1.12,1.09,22.38,0.56,20.62,0,1
28:56.9,-7.050816,110.391326,-7.050774,110.391525,254.76,257.57,2.81,0.71,0.74,0.72,22.38,0.69,30.98,0,1
28:57.1,-7.050816,110.391326,-7.050774,110.391525,255.17,257.57,2.4,0.75,0.73,0.74,22.38,0.83,30.25,0,1
28:57.3,-7.050816,110.391326,-7.05078,110.391517,255.92,259.04,3.12,0.77,0.71,0.74,21.42,0.96,28.95,0,1
28:57.5,-7.050816,110.391326,-7.050783,110.391517,256.96,259.95,2.99,0.75,0.73,0.74,21.36,1.09,28.87,0,1
28:57.7,-7.050816,110.391326,-7.050783,110.391517,257.25,259.95,2.69,0.8,0.7,0.75,21.36,1.23,28.6,0,1
28:57.9,-7.050816,110.391326,-7.050783,110.391517,258.12,259.95,1.83,0.76,0.75,0.75,21.36,1.36,28.33,0,1
28:58.1,-7.050816,110.391326,-7.050783,110.391517,259.13,259.95,0.81,0.83,0.76,0.8,21.36,1.51,26.84,0,1
28:58.3,-7.050816,110.391326,-7.050787,110.39151,260.66,260.99,0.33,1.02,0.96,0.99,20.46,1.69,20.72,0,1
28:58.5,-7.050816,110.391326,-7.050789,110.39151,262.03,261.51,-0.52,0.79,0.73,0.76,20.43,1.82,26.97,0,1
28:58.7,-7.050816,110.391326,-7.050789,110.39151,262.9,261.51,-1.39,0.77,0.72,0.75,20.43,1.96,27.35,0,1
28:58.9,-7.050816,110.391326,-7.050789,110.39151,264.09,261.51,-2.58,0.82,0.77,0.79,20.43,2.1,25.78,0,1
28:59.1,-7.050816,110.391326,-7.050789,110.39151,263.63,261.51,-2.12,0.8,0.79,0.79,20.43,2.24,25.78,0,1
28:59.3,-7.050816,110.391326,-7.050789,110.39151,262.63,261.51,-1.12,1.08,1.14,1.11,20.43,2.44,18.41,0,1
28:59.5,-7.050816,110.391326,-7.050789,110.39151,261.54,261.51,-0.03,0.73,0.75,0.74,20.43,2.58,27.48,0,1
28:59.7,-7.050816,110.391326,-7.050789,110.39151,261.16,261.51,0.35,0.74,0.77,0.76,20.43,2.71,26.97,0,1
28:59.9,-7.050816,110.391326,-7.050797,110.39151,260.43,264.01,3.57,0.76,0.77,0.77,20.31,2.85,26.45,0,1
29:00.1,-7.050816,110.391326,-7.050797,110.39151,259.95,264.01,4.06,0.75,0.77,0.76,20.31,2.99,26.57,0,1
29:00.3,-7.050816,110.391326,-7.050797,110.39151,259.78,264.01,4.23,0.75,0.73,0.74,20.31,3.12,27.32,0,1
29:00.4,-7.050816,110.391326,-7.0508,110.39151,260.17,264.93,4.77,0.77,0.75,0.76,20.29,3.26,26.66,0,1
29:00.7,-7.050816,110.391326,-7.0508,110.39151,261.26,264.93,3.67,0.76,0.71,0.73,20.29,3.39,27.67,0,1
29:00.9,-7.050816,110.391326,-7.0508,110.39151,263.6,264.93,1.34,1.08,0.98,1.03,20.29,3.58,19.7,0,1
29:01.1,-7.050816,110.391326,-7.0508,110.39151,265.65,264.93,-0.72,0.77,0.69,0.73,20.29,3.71,27.81,0,1
29:01.3,-7.050816,110.391326,-7.0508,110.39151,266.63,264.93,-1.69,0.84,0.75,0.79,20.29,3.85,25.6,0,1
29:01.4,-7.050816,110.391326,-7.0508,110.39151,267.89,264.93,-2.95,0.8,0.77,0.79,20.29,3.99,25.83,0,1
29:01.7,-7.050816,110.391326,-7.0508,110.39151,267.79,264.93,-2.86,0.81,0.78,0.8,20.29,4.13,25.49,0,1
29:01.9,-7.050816,110.391326,-7.0508,110.39151,266.82,264.93,-1.88,1.03,1.08,1.05,20.29,4.32,19.24,0,1
29:02.1,-7.050816,110.391326,-7.050793,110.391487,266.4,261.21,-5.19,0.72,0.73,0.73,17.86,4.45,24.6,0,1
29:02.3,-7.050816,110.391326,-7.050793,110.391487,266.19,261.21,-4.98,0.77,0.78,0.77,17.86,4.59,23.05,0,1
29:02.5,-7.050816,110.391326,-7.050793,110.391487,263.88,261.21,-2.67,0.73,0.77,0.75,17.86,4.73,23.69,0,1
29:02.8,-7.050816,110.391326,-7.050793,110.391487,261.53,261.21,-0.32,0.74,0.86,0.8,17.86,4.87,22.35,0,1
29:02.9,-7.050816,110.391326,-7.050793,110.391487,258.94,261.21,2.27,1.03,1.12,1.08,17.86,5.07,16.61,0,1
29:03.1,-7.050816,110.391326,-7.050793,110.391487,258.4,261.21,2.81,0.7,0.75,0.72,17.86,5.2,24.72,0,1
29:03.3,-7.050816,110.391326,-7.050793,110.391487,258.81,261.21,2.41,0.75,0.72,0.74,17.86,5.33,24.25,0,1
29:03.5,-7.050816,110.391326,-7.050788,110.391471,260.5,258.97,-1.53,0.79,0.74,0.76,16.29,5.47,21.31,0,1
29:03.8,-7.050816,110.391326,-7.050788,110.391471,262.29,258.97,-3.32,0.79,0.69,0.74,16.29,5.6,22.01,0,1
29:03.9,-7.050816,110.391326,-7.050787,110.391471,262,258.47,-3.53,1.14,1.13,1.14,16.32,5.81,14.34,0,1
29:04.1,-7.050816,110.391326,-7.050787,110.391471,261.09,258.47,-2.62,0.71,0.74,0.73,16.32,5.94,22.48,0,1
29:04.3,-7.050816,110.391326,-7.050787,110.391471,260.2,258.47,-1.73,0.72,0.77,0.74,16.32,6.07,21.95,0,1
29:04.5,-7.050816,110.391326,-7.050787,110.391471,258.51,258.47,-0.03,0.73,0.79,0.76,16.32,6.21,21.45,0,1
29:04.8,-7.050816,110.391326,-7.050787,110.391471,257.24,258.47,1.24,0.78,0.84,0.81,16.32,6.35,20.15,0,1
29:05.0,-7.050816,110.391326,-7.050787,110.391471,256.8,258.47,1.67,1.08,1.11,1.1,16.32,6.55,14.89,0,1
29:05.1,-7.050816,110.391326,-7.050787,110.391471,257.61,258.47,0.86,0.78,0.75,0.76,16.32,6.69,21.35,0,1
29:05.3,-7.050816,110.391326,-7.050787,110.391471,258.53,258.47,-0.05,0.8,0.75,0.77,16.32,6.83,21.06,0,1
29:05.5,-7.050816,110.391326,-7.050787,110.391471,259.92,258.47,-1.45,0.81,0.75,0.78,16.32,6.97,20.97,0,1
29:05.8,-7.050816,110.391326,-7.050789,110.391448,260.47,257.06,-3.4,0.86,0.83,0.84,13.79,7.12,16.33,0,1
29:06.0,-7.050816,110.391326,-7.050789,110.391448,259.27,257.06,-2.21,1.12,1.15,1.13,13.79,7.32,12.16,0,1
29:06.2,-7.050816,110.391326,-7.050789,110.391441,257.64,257.06,-0.58,0.75,0.8,0.77,12.97,7.46,16.74,0,1
29:06.4,-7.050816,110.391326,-7.050789,110.391441,256.1,257.06,0.97,0.73,0.8,0.76,12.97,7.6,17.05,0,1
29:06.6,-7.050816,110.391326,-7.050789,110.391441,253.88,257.06,3.19,0.77,0.86,0.81,12.97,7.75,15.95,0,1
29:06.8,-7.050816,110.391326,-7.050791,110.391441,253.79,257.87,4.08,0.81,0.81,0.81,12.93,7.89,15.96,0,1
29:07.0,-7.050816,110.391326,-7.050791,110.391433,256.18,256.31,0.14,1.22,1.12,1.17,12.11,8.1,10.35,0,1
29:07.2,-7.050816,110.391326,-7.050792,110.391433,258.18,256.77,-1.41,0.84,0.76,0.8,12.08,8.25,15.11,0,1
29:07.4,-7.050816,110.391326,-7.050792,110.391433,259.75,256.77,-2.98,0.84,0.73,0.79,12.08,8.39,15.38,0,1
29:07.6,-7.050816,110.391326,-7.050792,110.391433,260.78,256.77,-4.01,0.82,0.77,0.79,12.08,8.53,15.25,0,1
29:07.8,-7.050816,110.391326,-7.050793,110.391426,259.97,255.86,-4.11,0.82,0.85,0.84,11.25,8.68,13.43,0,1
29:08.0,-7.050816,110.391326,-7.050794,110.391426,256.59,256.59,0,0.99,1.1,1.05,11.23,8.87,10.72,0,1
29:08.2,-7.050816,110.391326,-7.050796,110.391426,254.39,257.57,3.18,0.76,0.88,0.82,11.18,9.02,13.63,0,1
29:08.4,-7.050816,110.391326,-7.050796,110.391426,253.66,257.57,3.91,0.75,0.78,0.76,11.18,9.16,14.62,0,1
29:08.6,-7.050816,110.391326,-7.050796,110.391426,253.93,257.57,3.64,0.81,0.8,0.8,11.18,9.3,13.93,0,1
29:08.8,-7.050816,110.391326,-7.050796,110.391426,255.08,257.57,2.49,0.84,0.77,0.81,11.18,9.44,13.87,0,1
29:09.0,-7.050816,110.391326,-7.050796,110.391426,256.42,257.57,1.15,1.19,1.1,1.14,11.18,9.65,9.76,0,1
29:09.1,-7.050816,110.391326,-7.050796,110.391426,258.16,257.57,-0.59,0.81,0.74,0.77,11.18,9.79,14.43,0,1
29:09.4,-7.050816,110.391326,-7.050796,110.391426,258.9,257.57,-1.33,0.89,0.87,0.88,11.18,9.95,12.76,0,1
29:09.6,-7.050816,110.391326,-7.050796,110.391426,259.57,257.57,-2,0.81,0.77,0.79,11.18,10.09,14.11,0,1
29:09.8,-7.050816,110.391326,-7.050796,110.391426,259.1,257.57,-1.53,0.79,0.82,0.8,11.18,10.24,13.93,0,1
29:10.0,-7.050816,110.391326,-7.050796,110.391426,258.22,257.57,-0.65,1.14,1.21,1.18,11.18,10.45,9.48,0,1
29:10.1,-7.050816,110.391326,-7.050799,110.391403,255.99,257.41,1.42,0.79,0.87,0.83,8.62,10.6,10.38,0,1
29:10.4,-7.050816,110.391326,-7.050799,110.391403,254.32,257.41,3.09,0.79,0.82,0.8,8.62,10.74,10.74,0,1
29:10.6,-7.050816,110.391326,-7.050799,110.391403,254.24,257.41,3.17,0.85,0.85,0.85,8.62,10.9,10.12,0,1
29:10.8,-7.050816,110.391326,-7.050799,110.391403,255.11,257.41,2.3,0.84,0.77,0.81,8.62,11.04,10.65,0,1
29:11.0,-7.050816,110.391326,-7.050799,110.391403,256.34,257.41,1.08,1.16,1.05,1.1,8.62,11.24,7.82,0,1
29:11.2,-7.050816,110.391326,-7.050799,110.391403,259.28,257.41,-1.87,0.88,0.76,0.82,8.62,11.39,10.51,0,1
29:11.4,-7.050816,110.391326,-7.050799,110.391403,261.98,257.41,-4.56,0.81,0.73,0.77,8.62,11.53,11.18,0,1
29:11.6,-7.050816,110.391326,-7.050799,110.391403,262.36,257.41,-4.94,0.76,0.74,0.75,8.62,11.66,11.49,0,1
29:11.8,-7.050816,110.391326,-7.050798,110.391395,260.44,254.85,-5.59,0.7,0.79,0.74,7.84,11.79,10.55,0,1
29:12.0,-7.050816,110.391326,-7.050798,110.391395,258.61,254.85,-3.76,1.01,1.16,1.08,7.84,11.99,7.25,0,1
29:12.2,-7.050816,110.391326,-7.050801,110.391387,254.94,254.6,-0.34,0.71,0.83,0.77,6.95,12.13,9,0,1
29:12.4,-7.050816,110.391326,-7.050801,110.391387,252.61,254.6,1.98,0.71,0.77,0.74,6.95,12.26,9.43,0,1
29:12.5,-7.050816,110.391326,-7.050801,110.391387,251.89,254.6,2.71,0.78,0.8,0.79,6.95,12.4,8.8,0,1
29:12.7,-7.050816,110.391326,-7.050801,110.391387,252.01,254.6,2.58,0.8,0.74,0.77,6.95,12.54,9.04,0,1
29:13.0,-7.050816,110.391326,-7.050804,110.39138,252.59,255.38,2.78,0.78,0.75,0.77,6.05,12.68,7.88,0,1
29:13.2,-7.050816,110.391326,-7.050804,110.39138,254.28,255.86,1.58,0.8,0.73,0.77,6.04,12.82,7.87,0,1
29:13.4,-7.050816,110.391326,-7.050804,110.39138,255.55,255.86,0.31,0.81,0.73,0.77,6.04,12.96,7.83,0,1
29:13.6,-7.050816,110.391326,-7.050804,110.39138,256.24,255.86,-0.38,1.14,1.07,1.1,6.04,13.16,5.48,0,1
29:13.8,-7.050816,110.391326,-7.050804,110.39138,257.4,255.86,-1.54,0.87,0.82,0.84,6.04,13.31,7.15,0,1
29:14.0,-7.050816,110.391326,-7.050804,110.391372,258.49,255.86,-2.63,0.82,0.77,0.8,5.22,13.45,6.56,0,1
29:14.2,-7.050816,110.391326,-7.050806,110.391372,258.49,257.82,-0.68,0.8,0.8,0.8,5.17,13.59,6.5,0,1
29:14.4,-7.050816,110.391326,-7.050806,110.391372,258,257.82,-0.18,0.77,0.82,0.8,5.17,13.74,6.5,0,1
29:14.6,-7.050816,110.391326,-7.050806,110.391372,257.69,257.82,0.13,1.17,1.19,1.18,5.17,13.95,4.38,0,1
29:14.7,-7.050816,110.391326,-7.050808,110.391365,257.48,256.54,-0.94,0.82,0.81,0.81,4.31,14.1,5.29,0,1
29:14.9,-7.050816,110.391326,-7.050809,110.391365,257.16,257.91,0.76,0.77,0.79,0.78,4.28,14.24,5.48,0,1
29:15.1,-7.050816,110.391326,-7.05081,110.391365,256.76,260,3.24,0.78,0.8,0.79,4.26,14.38,5.37,0,1
29:15.3,-7.050816,110.391326,-7.05081,110.391365,256.94,260,3.06,0.8,0.75,0.78,4.26,14.52,5.47,0,1
29:15.6,-7.050816,110.391326,-7.050813,110.391365,258.3,264.25,5.94,0.82,0.72,0.77,4.23,14.66,5.5,0,1
29:15.7,-7.050816,110.391326,-7.050813,110.391365,261.65,264.25,2.6,0.83,0.68,0.76,4.23,14.79,5.58,0,1
29:15.9,-7.050816,110.391326,-7.050813,110.391365,263.52,264.25,0.72,0.8,0.72,0.76,4.23,14.93,5.58,0,1
29:16.1,-7.050816,110.391326,-7.050813,110.391365,264.72,264.25,-0.47,1.12,1.01,1.07,4.23,15.12,3.96,0,1
29:16.3,-7.050816,110.391326,-7.050813,110.391365,266.73,264.25,-2.48,0.83,0.78,0.81,4.23,15.27,5.24,0,1
29:16.6,-7.050816,110.391326,-7.050815,110.391357,267.51,265.5,-2.02,0.79,0.77,0.78,3.37,15.41,4.31,0,1
29:16.8,-7.050816,110.391326,-7.050815,110.391357,266.23,265.5,-0.73,0.8,0.84,0.82,3.37,15.56,4.13,0,1
29:17.0,-7.050816,110.391326,-7.050815,110.391357,265.73,265.5,-0.23,0.78,0.81,0.8,3.37,15.7,4.24,0,1
29:17.1,-7.050816,110.391326,-7.050815,110.391357,264.78,265.5,0.72,1.21,1.28,1.25,3.37,15.92,2.7,0,1
29:17.3,-7.050816,110.391326,-7.050815,110.391349,263.01,266.4,3.38,0.8,0.84,0.82,2.53,16.07,3.08,0,1
29:17.6,-7.050816,110.391326,-7.050815,110.391349,262.32,266.4,4.08,0.71,0.61,0.66,2.53,16.19,3.83,0,1
29:17.8,-7.050816,110.391326,-7.050816,110.391349,264.03,270,5.97,0.57,0.45,0.51,2.53,16.28,4.96,0,1
29:18.0,-7.050816,110.391326,-7.050816,110.391349,267.08,270,2.92,0.5,0.36,0.43,2.53,16.36,5.84,0,1
29:18.2,-7.050816,110.391326,-7.050816,110.391349,268.82,270,1.18,0.57,0.4,0.49,2.53,16.45,5.21,0,1
29:18.3,-7.050816,110.391326,-7.050816,110.391349,271.49,270,-1.49,0.36,0.28,0.32,2.53,16.5,7.95,0,1
29:18.6,-7.050816,110.391326,-7.050816,110.391349,272.93,270,-2.93,0.34,0.31,0.32,2.53,16.56,7.87,0,1
29:18.8,-7.050816,110.391326,-7.050816,110.391349,273.78,270,-3.78,0.3,0.29,0.29,2.53,16.61,8.61,0,1
29:19.0,-7.050816,110.391326,-7.050816,110.391349,273.41,270,-3.41,0.31,0.31,0.31,2.53,16.67,8.13,0,1
29:19.2,-7.050816,110.391326,-7.050816,110.391349,272.47,270,-2.47,0.38,0.45,0.42,2.53,16.75,6.03,0,1
29:19.4,-7.050816,110.391326,-7.050816,110.391349,270.16,270,-0.16,0.27,0.36,0.31,2.53,16.8,8.13,0,1
29:19.6,-7.050816,110.391326,-7.050814,110.391342,268.42,255.86,-12.56,0.27,0.36,0.31,1.7,16.86,5.4,0,1
29:19.8,-7.050816,110.391326,-7.050814,110.391342,265.19,255.86,-9.33,0.25,0.36,0.3,1.7,16.91,5.59,0,1
29:20.0,-7.050816,110.391326,-7.050814,110.391342,262.24,255.86,-6.38,0.24,0.36,0.3,1.7,16.97,5.72,0,1
29:20.2,-7.050816,110.391326,-7.050814,110.391342,259.91,255.86,-4.05,0.3,0.45,0.38,1.7,17.03,4.5,0,1
29:20.4,-7.050816,110.391326,-7.050814,110.391342,256.5,255.86,-0.64,0.26,0.38,0.32,1.7,17.09,5.34,0,1
29:20.7,-7.050816,110.391326,-7.050815,110.391342,254.44,255.86,1.42,0.24,0.32,0.28,1.69,17.14,6.06,0,1
29:20.9,-7.050816,110.391326,-7.050815,110.391342,253.07,262.82,9.75,0.27,0.3,0.28,1.69,17.19,5.97,0,1
29:21.1,-7.050816,110.391326,-7.050815,110.391342,254.13,262.82,8.69,0.3,0.24,0.27,1.69,17.24,6.2,0,1
29:21.2,-7.050816,110.391326,-7.050815,110.391342,255.73,262.82,7.09,0.48,0.32,0.4,1.69,17.31,4.2,0,1
29:21.4,-7.050816,110.391326,-7.050816,110.391342,258.87,266.4,7.53,0.36,0.24,0.3,1.68,17.37,5.61,0,1
29:21.7,-7.050816,110.391326,-7.050816,110.391342,261.28,266.4,5.12,0.34,0.22,0.28,1.68,17.42,6.03,0,1
29:21.9,-7.050816,110.391326,-7.050816,110.391342,265.3,266.4,1.1,0.37,0.25,0.31,1.68,17.47,5.42,0,1
29:22.1,-7.050816,110.391326,-7.050816,110.391342,268.28,266.4,-1.89,0.34,0.23,0.28,1.68,17.53,5.96,0,1
29:22.3,-7.050816,110.391326,-7.050816,110.391342,269.68,266.4,-3.29,0.46,0.35,0.4,1.68,17.6,4.16,0,1
29:22.5,-7.050816,110.391326,-7.050816,110.391342,270.98,266.4,-4.58,0.27,0.24,0.26,1.68,17.64,6.52,0,1
