TIME,Lat_GPS,Lon_GPS,Target_Lat,Target_Lon,Theta,Theta_Target,Theta_Err,VL,VR,V_Aktual,Dist_GPS,Dist_Travelled,ETA_GPS,WP,MODE
44:12.0,-7.050816,110.391326,-7.050774,110.391548,304.09,258.98,-45.11,0,0,0,24.87,-1.68,0,0,1
44:12.2,-7.050816,110.391326,-7.050774,110.391548,303.15,258.98,-44.17,0,0.01,0,24.87,-1.68,0,0,1
44:12.5,-7.050816,110.391326,-7.050774,110.391548,298.84,258.98,-39.87,0.05,0.29,0.17,24.87,-1.64,148.42,0,1
44:12.6,-7.050816,110.391326,-7.050774,110.391548,285.27,258.98,-26.29,0.2,0.71,0.46,24.87,-1.56,54.38,0,1
44:12.8,-7.050816,110.391326,-7.050774,110.391548,272.1,258.98,-13.12,0.25,0.73,0.49,24.87,-1.47,50.89,0,1
44:13.0,-7.050816,110.391326,-7.050774,110.391548,264.92,258.98,-5.95,0.34,0.73,0.53,24.87,-1.38,46.56,0,1
44:13.2,-7.050816,110.391326,-7.050776,110.391548,255.09,259.41,4.32,0.46,0.76,0.61,24.83,-1.27,40.64,0,1
44:13.5,-7.050816,110.391326,-7.050776,110.391548,250.99,259.41,8.42,0.56,0.73,0.65,24.83,-1.15,38.45,0,1
44:13.7,-7.050816,110.391326,-7.050776,110.391548,247.47,259.41,11.95,1.03,0.96,0.99,24.83,-0.97,24.96,0,1
44:13.8,-7.050816,110.391326,-7.050776,110.391548,245.58,259.41,13.83,0.68,0.64,0.66,24.83,-0.85,37.44,0,1
44:14.0,-7.050816,110.391326,-7.050776,110.391548,245.48,259.41,13.93,0.76,0.59,0.67,24.83,-0.73,36.85,0,1
44:14.2,-7.050816,110.391326,-7.050779,110.39154,247.29,259.86,12.57,0.77,0.63,0.7,23.93,-0.61,34.11,0,1
44:14.5,-7.050816,110.391326,-7.050779,110.39154,250.87,259.86,8.99,0.75,0.59,0.67,23.93,-0.49,35.71,0,1
44:14.7,-7.050816,110.391326,-7.050779,110.39154,256.56,259.86,3.31,1.15,0.85,1,23.93,-0.31,23.89,0,1
44:14.9,-7.050816,110.391326,-7.050779,110.39154,260.96,259.86,-1.1,0.8,0.65,0.73,23.93,-0.17,32.96,0,1
44:15.1,-7.050816,110.391326,-7.050778,110.391532,263.54,259.18,-4.36,0.82,0.67,0.74,23.11,-0.04,31.09,0,1
44:15.3,-7.050816,110.391326,-7.050778,110.391532,265.47,259.18,-6.29,0.75,0.73,0.74,23.11,0.09,31.09,0,1
44:15.5,-7.050816,110.391326,-7.050778,110.391532,265.42,259.18,-6.24,0.74,0.78,0.76,23.11,0.23,30.38,0,1
44:15.7,-7.050816,110.391326,-7.050778,110.391532,264.35,259.18,-5.17,0.9,1.01,0.95,23.11,0.4,24.26,0,1
44:15.9,-7.050816,110.391326,-7.050778,110.391532,263.16,259.18,-3.98,0.68,0.74,0.71,23.11,0.53,32.62,0,1
44:16.1,-7.050816,110.391326,-7.050778,110.391532,262.22,259.18,-3.04,0.73,0.8,0.77,23.11,0.67,30.1,0,1
44:16.3,-7.050816,110.391326,-7.050778,110.391532,260.53,259.18,-1.34,0.72,0.81,0.76,23.11,0.8,30.24,0,1
44:16.5,-7.050816,110.391326,-7.050778,110.391532,258.47,259.18,0.71,0.72,0.77,0.75,23.11,0.94,30.94,0,1
44:16.7,-7.050816,110.391326,-7.050778,110.391532,255.33,259.18,3.86,0.99,1.11,1.05,23.11,1.13,22,0,1
44:16.9,-7.050816,110.391326,-7.050778,110.391532,254.42,259.18,4.76,0.8,0.8,0.8,23.11,1.27,28.92,0,1
44:17.1,-7.050816,110.391326,-7.050787,110.391517,255.11,261.25,6.14,0.82,0.79,0.81,21.29,1.42,26.4,0,1
44:17.3,-7.050816,110.391326,-7.050787,110.391517,256.85,261.25,4.4,0.79,0.7,0.74,21.29,1.55,28.63,0,1
44:17.6,-7.050816,110.391326,-7.050786,110.391517,258.91,260.6,1.69,0.79,0.7,0.74,21.31,1.69,28.66,0,1
44:17.8,-7.050816,110.391326,-7.050786,110.391517,261.34,260.6,-0.75,1.08,0.96,1.02,21.31,1.87,20.91,0,1
44:17.9,-7.050816,110.391326,-7.050786,110.391517,262.5,260.6,-1.91,0.82,0.77,0.79,21.31,2.01,26.9,0,1
44:18.1,-7.050816,110.391326,-7.050784,110.391517,262.7,260.08,-2.62,0.82,0.78,0.8,21.35,2.16,26.7,0,1
44:18.3,-7.050816,110.391326,-7.050784,110.391517,262.25,260.08,-2.17,0.77,0.79,0.78,21.35,2.3,27.42,0,1
44:18.6,-7.050816,110.391326,-7.050784,110.391517,261.68,260.08,-1.61,0.72,0.75,0.74,21.35,2.43,28.98,0,1
44:18.8,-7.050816,110.391326,-7.050783,110.39151,260.06,259.95,-0.11,1.04,1.08,1.06,20.53,2.62,19.35,0,1
44:18.9,-7.050816,110.391326,-7.050783,110.39151,258.5,259.69,1.19,0.73,0.77,0.75,20.54,2.75,27.37,0,1
44:19.1,-7.050816,110.391326,-7.050783,110.39151,257.6,259.69,2.09,0.73,0.8,0.76,20.54,2.89,26.87,0,1
44:19.3,-7.050816,110.391326,-7.050784,110.39151,257.02,259.95,2.93,0.77,0.78,0.78,20.53,3.03,26.37,0,1
44:19.5,-7.050816,110.391326,-7.050783,110.39151,257.39,259.95,2.56,0.75,0.73,0.74,20.53,3.16,27.75,0,1
44:19.7,-7.050816,110.391326,-7.050783,110.39151,258.72,259.95,1.23,0.77,0.71,0.74,20.53,3.3,27.75,0,1
44:19.9,-7.050816,110.391326,-7.050783,110.39151,260.74,259.95,-0.79,0.8,0.69,0.75,20.53,3.43,27.49,0,1
44:20.1,-7.050816,110.391326,-7.050783,110.39151,261.83,259.95,-1.88,0.83,0.78,0.81,20.53,3.58,25.47,0,1
44:20.3,-7.050816,110.391326,-7.050781,110.39151,263.31,259.17,-4.14,1.04,0.96,1,20.57,3.76,20.54,0,1
44:20.5,-7.050816,110.391326,-7.050781,110.39151,263.78,259.17,-4.6,0.77,0.77,0.77,20.57,3.9,26.67,0,1
44:20.7,-7.050816,110.391326,-7.050781,110.39151,263.5,259.17,-4.32,0.75,0.74,0.74,20.57,4.03,27.67,0,1
44:20.9,-7.050816,110.391326,-7.050782,110.39151,261.98,259.3,-2.68,0.75,0.8,0.78,20.56,4.17,26.42,0,1
44:21.2,-7.050816,110.391326,-7.050781,110.391502,260.07,258.19,-1.88,0.77,0.84,0.8,19.76,4.32,24.61,0,1
44:21.3,-7.050816,110.391326,-7.050781,110.391502,257.62,258.19,0.57,1.06,1.19,1.12,19.76,4.52,17.58,0,1
44:21.5,-7.050816,110.391326,-7.050781,110.391502,256.63,258.19,1.56,0.73,0.75,0.74,19.76,4.65,26.7,0,1
44:21.7,-7.050816,110.391326,-7.050781,110.391502,256.54,258.19,1.65,0.73,0.75,0.74,19.76,4.78,26.7,0,1
44:21.9,-7.050816,110.391326,-7.050781,110.391502,257.3,258.19,0.89,0.77,0.73,0.75,19.76,4.92,26.33,0,1
44:22.2,-7.050816,110.391326,-7.050781,110.391502,257.76,258.19,0.43,0.82,0.77,0.8,19.76,5.06,24.72,0,1
44:22.4,-7.050816,110.391326,-7.050776,110.391494,258.97,256.29,-2.68,1.17,1.11,1.14,19.05,5.27,16.69,0,1
44:22.6,-7.050816,110.391326,-7.050776,110.391494,258.85,256.29,-2.57,0.76,0.75,0.76,19.05,5.4,25.15,0,1
44:22.7,-7.050816,110.391326,-7.050776,110.391494,258.54,256.29,-2.25,0.74,0.76,0.75,19.05,5.54,25.38,0,1
44:22.9,-7.050816,110.391326,-7.050779,110.391487,257.66,255.86,-1.8,0.75,0.77,0.76,18.16,5.68,23.75,0,1
44:23.2,-7.050816,110.391326,-7.050779,110.391487,257.15,255.86,-1.29,0.75,0.78,0.77,18.16,5.82,23.64,0,1
44:23.4,-7.050816,110.391326,-7.050779,110.391487,256.04,255.86,-0.17,1.17,1.21,1.19,18.16,6.03,15.21,0,1
44:23.6,-7.050816,110.391326,-7.050779,110.391487,255.32,255.86,0.54,0.82,0.84,0.83,18.16,6.18,21.95,0,1
44:23.8,-7.050816,110.391326,-7.050779,110.391487,255.07,255.86,0.79,0.75,0.77,0.76,18.16,6.32,23.75,0,1
44:24.0,-7.050816,110.391326,-7.050779,110.391487,254.99,255.86,0.88,0.81,0.81,0.81,18.16,6.46,22.42,0,1
44:24.2,-7.050816,110.391326,-7.050779,110.391487,253.75,255.86,2.11,0.84,0.83,0.84,18.16,6.61,21.67,0,1
44:24.4,-7.050816,110.391326,-7.05078,110.391471,252.62,255.7,3.07,1.08,1.12,1.1,16.5,6.81,15,0,1
44:24.6,-7.050816,110.391326,-7.05078,110.391471,251.91,255.7,3.79,0.78,0.75,0.76,16.5,6.95,21.58,0,1
44:24.8,-7.050816,110.391326,-7.05078,110.391471,252.18,255.7,3.52,0.78,0.76,0.77,16.5,7.09,21.38,0,1
44:25.0,-7.050816,110.391326,-7.05078,110.391471,253.57,255.7,2.13,0.8,0.75,0.77,16.5,7.23,21.29,0,1
44:25.2,-7.050816,110.391326,-7.050781,110.391464,255.73,255.35,-0.37,0.87,0.77,0.82,15.64,7.38,19.07,0,1
44:25.3,-7.050816,110.391326,-7.050781,110.391464,257.21,255.35,-1.86,1.21,1.06,1.14,15.64,7.58,13.75,0,1
44:25.5,-7.050816,110.391326,-7.050781,110.391456,258.46,253.81,-4.65,0.79,0.78,0.79,14.83,7.72,18.88,0,1
44:25.8,-7.050816,110.391326,-7.050781,110.391456,258.51,253.81,-4.7,0.75,0.75,0.75,14.83,7.86,19.76,0,1
44:26.0,-7.050816,110.391326,-7.050783,110.391456,257.7,254.55,-3.15,0.77,0.83,0.8,14.79,8,18.42,0,1
44:26.1,-7.050816,110.391326,-7.050783,110.391456,256.32,254.92,-1.4,0.75,0.79,0.77,14.77,8.14,19.24,0,1
44:26.3,-7.050816,110.391326,-7.050783,110.391456,254.96,254.92,-0.03,1.14,1.26,1.2,14.77,8.36,12.3,0,1
44:26.5,-7.050816,110.391326,-7.050783,110.391456,252.81,254.92,2.11,0.75,0.8,0.77,14.77,8.49,19.06,0,1
44:26.7,-7.050816,110.391326,-7.050784,110.391448,252.01,254.28,2.27,0.83,0.83,0.83,13.95,8.64,16.79,0,1
44:26.9,-7.050816,110.391326,-7.050784,110.391448,252.83,254.28,1.45,0.82,0.73,0.77,13.95,8.78,18.08,0,1
44:27.1,-7.050816,110.391326,-7.050784,110.391448,254.71,254.28,-0.43,0.82,0.75,0.79,13.95,8.92,17.76,0,1
44:27.3,-7.050816,110.391326,-7.050784,110.391448,255.87,254.28,-1.6,0.79,0.74,0.76,13.95,9.06,18.24,0,1
44:27.5,-7.050816,110.391326,-7.050784,110.391448,256.01,254.28,-1.74,0.78,0.8,0.79,13.95,9.2,17.6,0,1
44:27.7,-7.050816,110.391326,-7.050786,110.391441,255.53,255.26,-0.27,0.75,0.79,0.77,13.06,9.34,16.93,0,1
44:27.9,-7.050816,110.391326,-7.050786,110.391441,255,255.26,0.27,1.08,1.11,1.09,13.06,9.54,11.96,0,1
44:28.1,-7.050816,110.391326,-7.050786,110.391441,253.35,255.26,1.91,0.77,0.82,0.8,13.06,9.68,16.34,0,1
44:28.3,-7.050816,110.391326,-7.050786,110.391441,251.67,255.26,3.6,0.77,0.82,0.8,13.06,9.83,16.34,0,1
44:28.5,-7.050816,110.391326,-7.050786,110.391441,251.67,255.26,3.6,0.77,0.76,0.76,12.21,9.97,15.97,0,1
44:28.7,-7.050816,110.391326,-7.050787,110.391433,252.41,254.51,2.11,0.8,0.74,0.77,12.21,10.1,15.83,0,1
44:28.9,-7.050816,110.391326,-7.050787,110.391433,253.42,254.51,1.09,0.82,0.76,0.79,12.21,10.25,15.48,0,1
44:29.1,-7.050816,110.391326,-7.050787,110.391433,254.85,254.51,-0.34,0.84,0.75,0.8,12.21,10.39,15.34,0,1
44:29.4,-7.050816,110.391326,-7.050787,110.391433,255.75,254.51,-1.23,0.81,0.79,0.8,12.21,10.53,15.27,0,1
44:29.6,-7.050816,110.391326,-7.050787,110.391433,256.75,254.51,-2.24,1.05,0.98,1.01,12.21,10.72,12.06,0,1
44:29.7,-7.050816,110.391326,-7.050787,110.391433,256.86,254.51,-2.35,0.78,0.79,0.79,12.21,10.86,15.54,0,1
44:29.9,-7.050816,110.391326,-7.050787,110.391433,256.59,254.51,-2.07,0.78,0.78,0.78,12.21,11,15.61,0,1
44:30.1,-7.050816,110.391326,-7.050787,110.391433,255.56,254.51,-1.04,0.8,0.83,0.81,12.21,11.14,15.01,0,1
44:30.4,-7.050816,110.391326,-7.050787,110.391433,254.45,254.51,0.07,0.82,0.86,0.84,12.21,11.3,14.51,0,1
44:30.6,-7.050816,110.391326,-7.050787,110.391433,254.29,254.51,0.23,1.14,1.19,1.17,12.21,11.51,10.47,0,1
44:30.8,-7.050816,110.391326,-7.050787,110.391433,254.89,254.51,-0.38,0.79,0.75,0.77,12.21,11.64,15.9,0,1
44:31.0,-7.050816,110.391326,-7.050787,110.391433,255.49,254.51,-0.98,0.8,0.77,0.78,12.21,11.78,15.61,0,1
44:31.1,-7.050816,110.391326,-7.050787,110.391433,255.61,254.51,-1.09,0.78,0.75,0.76,12.21,11.92,15.97,0,1
44:31.3,-7.050816,110.391326,-7.050789,110.391418,254.58,251.98,-2.61,0.74,0.79,0.76,10.53,12.06,13.78,0,1
44:31.5,-7.050816,110.391326,-7.050789,110.391418,253.35,251.98,-1.37,0.72,0.75,0.74,10.53,12.19,14.3,0,1
44:31.7,-7.050816,110.391326,-7.050789,110.391418,251.03,251.98,0.94,0.74,0.82,0.78,10.53,12.33,13.53,0,1
44:31.9,-7.050816,110.391326,-7.050789,110.391418,249.3,251.98,2.68,0.8,0.84,0.82,10.53,12.48,12.78,0,1
44:32.1,-7.050816,110.391326,-7.050789,110.391418,248.47,251.98,3.5,1,1.03,1.02,10.53,12.66,10.37,0,1
44:32.3,-7.050816,110.391326,-7.050789,110.391418,249.65,251.98,2.32,0.8,0.73,0.76,10.53,12.8,13.78,0,1
44:32.5,-7.050816,110.391326,-7.050789,110.391418,251.01,251.98,0.97,0.82,0.74,0.78,10.53,12.94,13.53,0,1
44:32.7,-7.050816,110.391326,-7.050789,110.391418,253.99,251.98,-2.01,0.85,0.75,0.8,10.53,13.09,13.12,0,1
44:33.0,-7.050816,110.391326,-7.050789,110.391418,255.49,251.98,-3.51,0.88,0.79,0.83,10.53,13.24,12.62,0,1
44:33.2,-7.050816,110.391326,-7.050796,110.391403,255.55,255.25,-0.3,1.19,1.17,1.18,8.7,13.45,7.39,0,1
44:33.4,-7.050816,110.391326,-7.050796,110.391403,254.76,255.25,0.49,0.77,0.8,0.79,8.7,13.59,11.07,0,1
44:33.5,-7.050816,110.391326,-7.050796,110.391403,254.35,255.25,0.9,0.83,0.86,0.84,8.7,13.74,10.29,0,1
44:33.7,-7.050816,110.391326,-7.050796,110.391403,253.14,255.25,2.1,0.78,0.8,0.79,8.7,13.88,10.97,0,1
44:34.0,-7.050816,110.391326,-7.050801,110.391387,253.13,254.6,1.46,0.84,0.86,0.85,6.93,14.04,8.17,0,1
44:34.2,-7.050816,110.391326,-7.050801,110.391387,254.1,254.6,0.49,1.13,1.08,1.1,6.93,14.24,6.29,0,1
44:34.4,-7.050816,110.391326,-7.050801,110.391387,255.8,254.6,-1.2,0.85,0.79,0.82,6.93,14.38,8.45,0,1
44:34.6,-7.050816,110.391326,-7.050801,110.391387,256.98,254.6,-2.39,0.87,0.8,0.84,6.93,14.53,8.28,0,1
44:34.8,-7.050816,110.391326,-7.050801,110.391387,258.88,254.6,-4.28,0.82,0.8,0.81,6.93,14.68,8.52,0,1
44:35.0,-7.050816,110.391326,-7.050805,110.39138,259.07,257.32,-1.74,0.84,0.83,0.84,6.02,14.83,7.18,0,1
44:35.2,-7.050816,110.391326,-7.050805,110.39138,258.26,257.32,-0.93,1.05,1.09,1.07,6.02,15.02,5.63,0,1
44:35.4,-7.050816,110.391326,-7.050807,110.39138,257.05,259.3,2.26,0.8,0.84,0.82,5.98,15.17,7.26,0,1
44:35.6,-7.050816,110.391326,-7.050807,110.39138,257.44,259.3,1.86,0.81,0.82,0.82,5.98,15.32,7.32,0,1
44:35.8,-7.050816,110.391326,-7.050808,110.39138,258.83,260.8,1.97,0.79,0.73,0.76,5.95,15.45,7.86,0,1
44:36.0,-7.050816,110.391326,-7.050808,110.39138,260.29,260.8,0.52,0.78,0.74,0.76,5.95,15.59,7.82,0,1
44:36.2,-7.050816,110.391326,-7.050808,110.39138,263.46,260.8,-2.66,1.11,1.01,1.06,5.95,15.78,5.63,0,1
44:36.4,-7.050816,110.391326,-7.050808,110.391372,265.24,260.3,-4.94,0.81,0.77,0.79,5.13,15.92,6.5,0,1
44:36.6,-7.050816,110.391326,-7.050808,110.391372,265.47,260.3,-5.17,0.77,0.76,0.76,5.13,16.06,6.71,0,1
44:36.8,-7.050816,110.391326,-7.050807,110.391365,265.45,256.54,-8.91,0.77,0.82,0.79,4.32,16.2,5.45,0,1
44:37.0,-7.050816,110.391326,-7.050807,110.391365,264.12,256.54,-7.57,0.75,0.77,0.76,4.32,16.34,5.65,0,1
44:37.3,-7.050816,110.391326,-7.050807,110.391365,260.8,256.54,-4.26,1.13,1.28,1.21,4.32,16.56,3.57,0,1
44:37.4,-7.050816,110.391326,-7.050807,110.391365,257.63,256.54,-1.09,0.75,0.83,0.79,4.32,16.7,5.45,0,1
44:37.6,-7.050816,110.391326,-7.050807,110.391365,255.75,256.54,0.79,0.72,0.8,0.76,4.32,16.84,5.67,0,1
44:37.8,-7.050816,110.391326,-7.050807,110.391365,252.98,256.54,3.56,0.76,0.8,0.78,4.32,16.98,5.55,0,1
44:38.1,-7.050816,110.391326,-7.050808,110.391349,252.16,239.11,-13.05,0.78,0.8,0.79,2.68,17.12,3.4,0,1
44:38.3,-7.050816,110.391326,-7.050808,110.391349,250.81,239.11,-11.7,0.82,0.97,0.9,2.68,17.28,2.99,0,1
44:38.5,-7.050816,110.391326,-7.050808,110.391349,247.28,239.11,-8.17,0.45,0.57,0.51,2.68,17.37,5.3,0,1
44:38.7,-7.050816,110.391326,-7.050808,110.391349,244.39,239.11,-5.28,0.35,0.46,0.4,2.68,17.45,6.62,0,1
44:38.8,-7.050816,110.391326,-7.050808,110.391349,239.86,239.11,-0.75,0.26,0.36,0.31,2.68,17.5,8.63,0,1
44:39.1,-7.050816,110.391326,-7.050812,110.391349,236.81,252.52,15.71,0.25,0.36,0.3,2.56,17.56,8.43,0,1
44:39.3,-7.050816,110.391326,-7.050812,110.391349,235.73,252.52,16.79,0.36,0.4,0.38,2.56,17.62,6.79,0,1
44:39.5,-7.050816,110.391326,-7.050812,110.391349,238.84,252.52,13.68,0.36,0.22,0.29,2.56,17.68,8.95,0,1
44:39.7,-7.050816,110.391326,-7.050812,110.391349,242.22,252.52,10.3,0.38,0.18,0.28,2.56,17.73,9.06,0,1
44:39.8,-7.050816,110.391326,-7.050813,110.391342,248.42,243.26,-5.16,0.36,0.16,0.26,1.72,17.77,6.59,0,1
44:40.1,-7.050816,110.391326,-7.050812,110.391342,252.4,237.8,-14.61,0.34,0.17,0.25,1.74,17.82,6.81,0,1
44:40.3,-7.050816,110.391326,-7.050812,110.391342,252.88,237.8,-15.08,0.37,0.33,0.35,1.74,17.88,4.97,0,1
44:40.5,-7.050816,110.391326,-7.050812,110.391342,250.03,237.8,-12.23,0.21,0.32,0.27,1.74,17.93,6.55,0,1
44:40.7,-7.050816,110.391326,-7.050812,110.391342,247.35,237.8,-9.55,0.2,0.37,0.29,1.74,17.98,6.07,0,1
44:40.9,-7.050816,110.391326,-7.050812,110.391342,242.86,237.8,-5.06,0.2,0.36,0.28,1.74,18.03,6.14,0,1
44:41.1,-7.050816,110.391326,-7.050812,110.391342,239.93,237.8,-2.13,0.21,0.36,0.28,1.74,18.08,6.14,0,1
44:41.3,-7.050816,110.391326,-7.050812,110.391342,236.22,237.8,1.58,0.29,0.43,0.36,1.74,18.15,4.83,0,1
44:41.5,-7.050816,110.391326,-7.050812,110.391342,234.41,237.8,3.39,0.24,0.31,0.28,1.74,18.2,6.22,0,1
44:41.7,-7.050816,110.391326,-7.050812,110.391342,234.77,237.8,3.03,0.3,0.31,0.31,1.74,18.25,5.65,0,1
44:41.9,-7.050816,110.391326,-7.050812,110.391342,236.74,237.8,1.06,0.31,0.26,0.29,1.74,18.31,6.07,0,1
44:42.1,-7.050816,110.391326,-7.050812,110.391342,239.01,237.8,-1.21,0.34,0.26,0.3,1.74,18.36,5.78,0,1
44:42.3,-7.050816,110.391326,-7.050812,110.391342,242.02,237.8,-4.22,0.45,0.31,0.38,1.74,18.43,4.61,0,1
