TIME,Lat_GPS,Lon_GPS,Target_Lat,Target_Lon,Theta,Theta_Target,Theta_Err,VL,VR,V_Aktual,Dist_GPS,Dist_Travelled,ETA_GPS,WP,MODE
45:20.2,-7.050816,110.391326,-7.050787,110.39154,359.63,262.13,-97.49,0,0,0,23.8,-0.14,0,0,1
45:20.4,-7.050816,110.391326,-7.050786,110.39154,355.51,262.02,-93.49,0.01,0.17,0.09,23.8,-0.12,262.26,0,1
45:20.6,-7.050816,110.391326,-7.050786,110.39154,349.2,262.02,-87.18,0.01,0.27,0.14,23.8,-0.1,166.31,0,1
45:20.8,-7.050816,110.391326,-7.050786,110.39154,342.84,262.02,-80.82,0.01,0.36,0.19,23.8,-0.07,128.66,0,1
45:21.0,-7.050816,110.391326,-7.050786,110.39154,328.71,262.02,-66.69,0.01,0.48,0.25,23.8,-0.02,96.04,0,1
45:21.3,-7.050816,110.391326,-7.050786,110.39154,313.74,261.68,-52.06,0.02,0.59,0.3,23.82,0.03,78.43,0,1
45:21.4,-7.050816,110.391326,-7.050786,110.39154,291.68,261.68,-30,0.1,1.12,0.61,23.82,0.14,38.99,0,1
45:21.6,-7.050816,110.391326,-7.050786,110.39154,277.03,261.68,-15.35,0.19,0.82,0.51,23.82,0.23,47.06,0,1
45:21.8,-7.050816,110.391326,-7.050786,110.39154,268.98,261.68,-7.3,0.31,0.79,0.55,23.82,0.33,43.46,0,1
45:22.0,-7.050816,110.391326,-7.050786,110.39154,257.68,261.68,4,0.48,0.86,0.67,23.82,0.45,35.54,0,1
45:22.3,-7.050816,110.391326,-7.050786,110.39154,254.11,261.68,7.57,0.64,0.83,0.73,23.82,0.59,32.49,0,1
45:22.5,-7.050816,110.391326,-7.050789,110.391532,258.74,262.09,3.35,1.07,1.1,1.08,22.93,0.78,21.19,0,1
45:22.7,-7.050816,110.391326,-7.050789,110.391532,263.35,262.09,-1.26,0.78,0.68,0.73,22.93,0.91,31.28,0,1
45:22.9,-7.050816,110.391326,-7.050789,110.391532,266.5,262.09,-4.41,0.85,0.78,0.82,22.93,1.06,28.08,0,1
45:23.0,-7.050816,110.391326,-7.050791,110.391525,269.89,262.44,-7.44,0.82,0.76,0.79,22.07,1.2,27.98,0,1
45:23.3,-7.050816,110.391326,-7.050791,110.391525,270.78,262.44,-8.34,0.75,0.8,0.77,22.07,1.34,28.61,0,1
45:23.5,-7.050816,110.391326,-7.050791,110.391525,269.34,262.44,-6.9,1.03,1.1,1.07,22.07,1.53,20.66,0,1
45:23.7,-7.050816,110.391326,-7.050791,110.391525,267.67,262.44,-5.23,0.69,0.8,0.75,22.07,1.67,29.54,0,1
45:23.8,-7.050816,110.391326,-7.050791,110.391525,266.49,262.44,-4.05,0.7,0.78,0.74,22.07,1.8,29.82,0,1
45:24.1,-7.050816,110.391326,-7.050794,110.391517,264.65,263.08,-1.56,0.73,0.82,0.77,21.2,1.94,27.35,0,1
45:24.3,-7.050816,110.391326,-7.050794,110.391517,263.49,263.08,-0.4,0.74,0.77,0.76,21.2,2.08,27.98,0,1
45:24.5,-7.050816,110.391326,-7.050796,110.39151,262.12,263.61,1.49,1.14,1.21,1.18,20.33,2.29,17.29,0,1
45:24.7,-7.050816,110.391326,-7.050796,110.39151,261.76,263.61,1.85,0.8,0.8,0.8,20.33,2.43,25.44,0,1
45:24.9,-7.050816,110.391326,-7.050796,110.39151,261.97,263.61,1.64,0.82,0.82,0.82,20.33,2.58,24.79,0,1
45:25.1,-7.050816,110.391326,-7.0508,110.39151,262.14,264.93,2.79,0.86,0.76,0.81,20.29,2.73,25.05,0,1
45:25.4,-7.050816,110.391326,-7.0508,110.39151,261.96,264.93,2.97,0.85,0.81,0.83,20.29,2.88,24.42,0,1
45:25.5,-7.050816,110.391326,-7.050801,110.391502,263.72,264.82,1.1,1.3,1.17,1.24,19.43,3.1,15.73,0,1
45:25.7,-7.050816,110.391326,-7.050802,110.391502,265.15,264.96,-0.19,0.81,0.73,0.77,19.43,3.24,25.19,0,1
45:25.9,-7.050816,110.391326,-7.050802,110.391502,266.1,264.96,-1.14,0.82,0.73,0.77,19.43,3.38,25.07,0,1
45:26.1,-7.050816,110.391326,-7.050802,110.391502,268.03,264.96,-3.07,0.82,0.75,0.79,19.43,3.52,24.74,0,1
45:26.4,-7.050816,110.391326,-7.050802,110.391502,269.12,264.96,-4.16,0.84,0.8,0.82,19.43,3.67,23.59,0,1
45:26.6,-7.050816,110.391326,-7.050803,110.391487,267.6,265.25,-2.34,1.12,1.18,1.15,17.74,3.87,15.45,0,1
45:26.7,-7.050816,110.391326,-7.050804,110.391487,266.07,265.25,-0.81,0.73,0.78,0.76,17.73,4.01,23.41,0,1
45:26.9,-7.050816,110.391326,-7.050804,110.391487,264.78,265.25,0.47,0.74,0.8,0.77,17.73,4.15,22.99,0,1
45:27.1,-7.050816,110.391326,-7.050806,110.391487,262.64,266.07,3.43,0.79,0.81,0.8,17.72,4.29,22.16,0,1
45:27.4,-7.050816,110.391326,-7.050806,110.391487,262.07,266.07,4,0.78,0.8,0.79,17.72,4.43,22.36,0,1
45:27.6,-7.050816,110.391326,-7.050806,110.391487,264.42,266.07,1.65,1.25,1.14,1.19,17.72,4.65,14.84,0,1
45:27.8,-7.050816,110.391326,-7.050806,110.391479,266.47,266.07,-0.4,0.89,0.82,0.86,16.88,4.8,19.73,0,1
45:28.0,-7.050816,110.391326,-7.050806,110.391479,267.42,266.07,-1.35,0.91,0.8,0.86,16.88,4.96,19.73,0,1
45:28.2,-7.050816,110.391326,-7.050806,110.391479,267.98,266.07,-1.91,0.87,0.84,0.86,16.88,5.11,19.73,0,1
45:28.4,-7.050816,110.391326,-7.050806,110.391479,267.68,266.07,-1.61,0.85,0.86,0.86,16.88,5.26,19.73,0,1
45:28.6,-7.050816,110.391326,-7.050806,110.391479,266.99,266.07,-0.92,1.08,1.12,1.1,16.88,5.46,15.4,0,1
45:28.8,-7.050816,110.391326,-7.050807,110.391471,266.59,266.4,-0.2,0.79,0.77,0.78,16.03,5.6,20.5,0,1
45:29.0,-7.050816,110.391326,-7.050807,110.391471,266.37,266.4,0.03,0.82,0.84,0.83,16.03,5.75,19.21,0,1
45:29.2,-7.050816,110.391326,-7.050807,110.391464,265.4,266.04,0.64,0.83,0.83,0.83,15.19,5.9,18.28,0,1
45:29.4,-7.050816,110.391326,-7.050807,110.391464,264.53,266.4,1.87,0.77,0.84,0.81,15.18,6.05,18.83,0,1
45:29.5,-7.050816,110.391326,-7.050807,110.391464,264.79,266.4,1.6,0.82,0.81,0.82,15.18,6.19,18.59,0,1
